cosmic_signature,observed_cosine,null_n,null_median,null_p95,null_max,margin_over_null_p95,null_times_reached_observed,p_value,fdr,beats_chance_fdr5,cosine_at_least_0.85,explained_at_0.85,cosine_at_least_0.9,explained_at_0.9,cosine_at_least_0.95,explained_at_0.95
SBS99,0.6,1000,0.51,0.6505,0.75,-0.0505,155,0.15584415584415584,0.21561999644191424,False,False,False,False,False,False,False
SBS44,0.67,1000,0.64,0.75,0.86,-0.08,352,0.35264735264735264,0.42882117882117887,False,False,False,False,False,False,False
SBS54,0.65,1000,0.54,0.74,0.87,-0.09,170,0.17082917082917082,0.22407462667202926,False,False,False,False,False,False,False
SBS2,0.66,1000,0.45,0.75,0.88,-0.09,145,0.14585414585414586,0.2046009546009546,False,False,False,False,False,False,False
SBS6,0.73,1000,0.72,0.82,0.93,-0.09,479,0.47952047952047955,0.5441749261973982,False,False,False,False,False,False,False
SBS46,0.76,1000,0.79,0.86,0.92,-0.1,744,0.7442557442557443,0.7861721611721612,False,False,False,False,False,False,False
SBS60,0.33,1000,0.16,0.43,0.43,-0.1,162,0.16283716283716285,0.221978021978022,False,False,False,False,False,False,False
SBS106,0.43,1000,0.42,0.54,0.65,-0.11,453,0.45354645354645357,0.5205476341839979,False,False,False,False,False,False,False
SBS14,0.69,1000,0.61,0.8,0.98,-0.11,266,0.26673326673326675,0.3410134169627841,False,False,False,False,False,False,False
SBS10a,0.69,1000,0.58,0.8,0.86,-0.11,76,0.07692307692307693,0.1253101736972705,False,False,False,False,False,False,False
SBS59,0.66,1000,0.58,0.78,0.92,-0.12,290,0.2907092907092907,0.3670204795204795,False,False,False,False,False,False,False
SBS7c,0.67,1000,0.48,0.82,0.89,-0.15,174,0.17482517482517482,0.22637618791464945,False,False,False,False,False,False,False
SBS39,0.61,1000,0.69,0.77,0.85,-0.16,973,0.973026973026973,0.9820179820179821,False,False,False,False,False,False,False
SBS33,0.5,1000,0.49,0.69,0.81,-0.19,495,0.4955044955044955,0.5560661560661561,False,False,False,False,False,False,False
SBS17b,0.21,1000,0.19,0.41,0.45,-0.2,439,0.43956043956043955,0.5160931022999988,False,False,False,False,False,False,False
SBS15,0.58,1000,0.58,0.7905,0.93,-0.2105,509,0.5094905094905094,0.5654784775663896,False,False,False,False,False,False,False
SBS97,0.56,1000,0.5,0.8,0.9,-0.24,386,0.3866133866133866,0.45938767115237705,False,False,False,False,False,False,False
SBS7d,0.43,1000,0.47,0.67,0.75,-0.24,685,0.6853146853146853,0.74426648620197,False,False,False,False,False,False,False
SBS27,0.55,1000,0.49,0.81,0.95,-0.26,338,0.3386613386613387,0.4171316488389659,False,False,False,False,False,False,False
SBS103,0.39,1000,0.35,0.6705,0.9,-0.2805,334,0.33466533466533466,0.4171316488389659,False,False,False,False,False,False,False
SBS49,0.45,1000,0.57,0.77,0.94,-0.32,658,0.6583416583416584,0.7227446466576902,False,False,False,False,False,False,False
SBS17a,0.31,1000,0.44,0.65,0.77,-0.34,945,0.945054945054945,0.9641469641469641,False,False,False,False,False,False,False
SBS13,0.24,1000,0.21,0.6,0.86,-0.36,444,0.44455544455544455,0.5160931022999988,False,False,False,False,False,False,False
SBS52,0.43,1000,0.59,0.79,0.92,-0.36,695,0.6953046953046953,0.7470827045295131,False,False,False,False,False,False,False
SBS10b,0.4,1000,0.44,0.77,0.89,-0.37,747,0.7472527472527473,0.7861721611721612,False,False,False,False,False,False,False
SBS86,0.33,1000,0.47,0.7,0.89,-0.37,914,0.9140859140859141,0.942068135945687,False,False,False,False,False,False,False
SBS91,0.37,1000,0.55,0.77,0.91,-0.4,884,0.8841158841158842,0.920574271089735,False,False,False,False,False,False,False
SBS48,0.16,1000,0.56,0.78,0.9,-0.62,982,0.9820179820179821,0.9820179820179821,False,False,False,False,False,False,False
